업종명,업소명,소재지(도로명),소재지(지번),소재지전화
유흥주점영업,그랑나랑,"부산광역시 부산진구 가야대로784번길 15, 지하1층 (부전동)",부산광역시 부산진구 부전동 502-21 지하1층 ,051 -802 -5696
유흥주점영업,서하,"부산광역시 부산진구 중앙대로691번길 43, 지하1층 (부전동)",부산광역시 부산진구 부전동 524-7 (지하1층) ,051 -809 -5259
유흥주점영업,비가연,"부산광역시 부산진구 중앙대로691번길 49, 지상2층 (부전동)",부산광역시 부산진구 부전동 524-2 지상2층 , 051- 806-2256
유흥주점영업,라온,"부산광역시 부산진구 서면로 19-1, 지하1층 (부전동)",부산광역시 부산진구 부전동 522-41 지하1층 , 051- 806-6684
유흥주점영업,낭랑,부산광역시 부산진구 중앙대로691번길 41 (부전동),부산광역시 부산진구 부전동 524-1 , 051- 806-3697
유흥주점영업,원피스노래주점,"부산광역시 부산진구 가야대로784번길 52 (부전동,,50)","부산광역시 부산진구 부전동 519-5 ,50 ", 051- 808-2328
유흥주점영업,뉴볼소주호프노래타운,"부산광역시 부산진구 중앙대로680번가길 12-6, 2층 (부전동)",부산광역시 부산진구 부전동 220-8 2층 ,051 -809 -1100
유흥주점영업,레몬노래주점,"부산광역시 부산진구 서면문화로5번길 8 (부전동,,33)","부산광역시 부산진구 부전동 475-32 ,33 ", 051- 804-8835
유흥주점영업,우정,부산광역시 부산진구 중앙대로691번가길 14-11 (부전동),부산광역시 부산진구 부전동 519-25 , 051- 817-4403
유흥주점영업,꿀물,"부산광역시 부산진구 서면로 29-10 (부전동,(지하1층))",부산광역시 부산진구 부전동 521-23 (지하1층) , 051- 817-2245
유흥주점영업,시카고펍비어,부산광역시 부산진구 가야대로784번길 56-3 (부전동),부산광역시 부산진구 부전동 520-37 ,
유흥주점영업,문화,부산광역시 부산진구 중앙대로691번길 34 (부전동),부산광역시 부산진구 부전동 517-57 , 051- 807-2701
유흥주점영업,블리스,"부산광역시 부산진구 서면로 33-11, 1층 (부전동)",부산광역시 부산진구 부전동 521-19 ,051 -807 -1818
유흥주점영업,바람,부산광역시 부산진구 서면로 15-8 (부전동),부산광역시 부산진구 부전동 522-14 ,
유흥주점영업,레몬,"부산광역시 부산진구 중앙대로635번길 17-1, 2층 (범천동)",부산광역시 부산진구 범천동 869-10 , 051- 638-9085
